,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
1030,4675043,HM273537,04-04-2006 15:50,021XX N CLYBOURN AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,BANK,FALSE,FALSE,1811,18,32,7,06,1166511,1914535,2006,04/15/2016 08:55:02 AM,41.92105776,-87.66362328,"(41.92105776, -87.66362328)"
1031,4675044,HM273724,04-05-2006 14:15,021XX S CHINA PL,0810,THEFT,OVER $500,STREET,FALSE,FALSE,2111,9,25,34,06,1174554,1890117,2006,04/15/2016 08:55:02 AM,41.85387719,-87.63480204,"(41.853877193, -87.634802035)"
1032,4675045,HM270928,04-04-2006 10:17,006XX E 62ND ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,TRUE,FALSE,313,3,20,42,26,1181759,1864047,2006,04/15/2016 08:55:02 AM,41.78217526,-87.60916373,"(41.782175255, -87.609163728)"
1033,4675046,HM274679,04-06-2006 07:16,079XX S INGLESIDE AVE,0460,BATTERY,SIMPLE,STREET,FALSE,FALSE,624,6,8,44,08B,1183937,1852657,2006,04/15/2016 08:55:02 AM,41.75086939,-87.60153397,"(41.750869391, -87.601533966)"
1034,4675047,HM275086,03/20/2006 12:01:00 AM,022XX S MILLARD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,FALSE,FALSE,1013,10,22,30,11,1152384,1888961,2006,04/15/2016 08:55:02 AM,41.85117108,-87.71620504,"(41.851171076, -87.716205043)"
1035,4675048,HM276475,04-07-2006 01:35,020XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1431,14,1,22,08B,1159682,1913243,2006,04/15/2016 08:55:02 AM,41.91765602,-87.68875026,"(41.917656022, -87.688750258)"
1036,4675049,HM276273,04-06-2006 22:39,001XX E 79TH ST,031A,ROBBERY,ARMED: HANDGUN,RESTAURANT,FALSE,FALSE,623,6,6,69,03,1178630,1852665,2006,04/15/2016 08:55:02 AM,41.75101356,-87.62098099,"(41.751013563, -87.620980989)"
1037,4675050,HM273816,04-05-2006 17:45,023XX N CLARK ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,1814,18,43,7,06,1173029,1915741,2006,04/15/2016 08:55:02 AM,41.9242249,-87.639639,"(41.924224899, -87.639638995)"
1038,4675052,HM267489,03-04-2006 13:30,069XX S MORGAN ST,0460,BATTERY,SIMPLE,STREET,FALSE,FALSE,733,7,17,68,08B,1170840,1858905,2006,04/15/2016 08:55:02 AM,41.76831036,-87.64934551,"(41.76831036, -87.649345507)"
1039,4675053,HM274890,04-06-2006 10:02,078XX S EGGLESTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,621,6,17,69,14,1174658,1852765,2006,04/15/2016 08:55:02 AM,41.7513773,-87.63553332,"(41.751377296, -87.635533317)"
1040,4675054,HM276819,04-06-2006 20:00,067XX N MOZART ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,2412,24,50,2,05,1156115,1944506,2006,04/15/2016 08:55:02 AM,42.00351639,-87.70100797,"(42.00351639, -87.701007974)"
1041,4675055,HM276583,04-07-2006 04:55,049XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,TRUE,1533,15,28,25,08B,1143190,1899563,2006,04/15/2016 08:55:02 AM,41.8804407,-87.74968492,"(41.8804407, -87.749684919)"
1042,4675056,HM271316,04-04-2006 13:35,063XX S CALUMET AVE,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,312,3,20,69,14,1179551,1862782,2006,04/15/2016 08:55:02 AM,41.77875471,-87.6172974,"(41.778754713, -87.617297398)"
1043,4675057,HM275552,04-06-2006 13:15,090XX S THROOP ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2222,22,21,73,08B,1169246,1844843,2006,04/15/2016 08:55:02 AM,41.72975695,-87.65559428,"(41.729756954, -87.65559428)"
